"","year","state","month","number","date"
"1062",2002,"Bahia","jun",118,"2002-01-01"
"1063",2003,"Bahia","jun",140,"2003-01-01"
"1064",2004,"Bahia","jun",289,"2004-01-01"
"1065",2005,"Bahia","jun",211,"2005-01-01"
"1066",2006,"Bahia","jun",68,"2006-01-01"
"1067",2007,"Bahia","jun",270,"2007-01-01"
"1068",2008,"Bahia","jun",72,"2008-01-01"
"1069",2009,"Bahia","jun",92,"2009-01-01"
"1070",2010,"Bahia","jun",192,"2010-01-01"
"1071",2011,"Bahia","jun",345,"2011-01-01"
"1072",2012,"Bahia","jun",385,"2012-01-01"
"1073",2013,"Bahia","jun",208,"2013-01-01"
"1074",2014,"Bahia","jun",243,"2014-01-01"
"1075",2015,"Bahia","jun",242,"2015-01-01"
"1076",2016,"Bahia","jun",416,"2016-01-01"
"1077",2017,"Bahia","jun",329,"2017-01-01"
"1078",1998,"Bahia","jul",219,"1998-01-01"
"1079",1999,"Bahia","jul",107,"1999-01-01"
"1080",2000,"Bahia","jul",202,"2000-01-01"
"1081",2001,"Bahia","jul",248,"2001-01-01"
"1082",2002,"Bahia","jul",549,"2002-01-01"
"1083",2003,"Bahia","jul",261,"2003-01-01"
"1084",2004,"Bahia","jul",310,"2004-01-01"
"1085",2005,"Bahia","jul",269,"2005-01-01"
"1086",2006,"Bahia","jul",229,"2006-01-01"
"1087",2007,"Bahia","jul",811,"2007-01-01"
"1088",2008,"Bahia","jul",271,"2008-01-01"
"1089",2009,"Bahia","jul",321,"2009-01-01"
"1090",2010,"Bahia","jul",519,"2010-01-01"
"1091",2011,"Bahia","jul",578,"2011-01-01"
"1092",2012,"Bahia","jul",906,"2012-01-01"
"1093",2013,"Bahia","jul",362,"2013-01-01"
"1094",2014,"Bahia","jul",249,"2014-01-01"
"1095",2015,"Bahia","jul",306,"2015-01-01"
"1096",2016,"Bahia","jul",345,"2016-01-01"
"1097",2017,"Bahia","jul",300,"2017-01-01"
"1098",1998,"Bahia","aug",815,"1998-01-01"
"1099",1999,"Bahia","aug",453,"1999-01-01"
"1100",2000,"Bahia","aug",633,"2000-01-01"
"1101",2001,"Bahia","aug",979,"2001-01-01"
"1102",2002,"Bahia","aug",1.827,"2002-01-01"
"1103",2003,"Bahia","aug",1.039,"2003-01-01"
"1104",2004,"Bahia","aug",1.43,"2004-01-01"
"1105",2005,"Bahia","aug",948,"2005-01-01"
"1106",2006,"Bahia","aug",995,"2006-01-01"
"1107",2007,"Bahia","aug",3.734,"2007-01-01"
"1108",2008,"Bahia","aug",611,"2008-01-01"
"1109",2009,"Bahia","aug",439,"2009-01-01"
"1110",2010,"Bahia","aug",2.423,"2010-01-01"
"1111",2011,"Bahia","aug",1.795,"2011-01-01"
"1112",2012,"Bahia","aug",1.835,"2012-01-01"
"1113",2013,"Bahia","aug",610,"2013-01-01"
"1114",2014,"Bahia","aug",674,"2014-01-01"
"1115",2015,"Bahia","aug",829,"2015-01-01"
"1116",2016,"Bahia","aug",724,"2016-01-01"
"1117",2017,"Bahia","aug",1.018,"2017-01-01"
"1118",1998,"Bahia","sep",2.718,"1998-01-01"
"1119",1999,"Bahia","sep",1.275,"1999-01-01"
"1120",2000,"Bahia","sep",2.285,"2000-01-01"
"1121",2001,"Bahia","sep",3.964,"2001-01-01"
"1122",2002,"Bahia","sep",6.439,"2002-01-01"
"1123",2003,"Bahia","sep",8.847,"2003-01-01"
"1124",2004,"Bahia","sep",6.433,"2004-01-01"
"1125",2005,"Bahia","sep",4.066,"2005-01-01"
"1126",2006,"Bahia","sep",3.006,"2006-01-01"
"1127",2007,"Bahia","sep",7.438,"2007-01-01"
"1128",2008,"Bahia","sep",4.837,"2008-01-01"
"1129",2009,"Bahia","sep",3.61,"2009-01-01"
"1130",2010,"Bahia","sep",5.323,"2010-01-01"
"1131",2011,"Bahia","sep",7.086,"2011-01-01"
"1132",2012,"Bahia","sep",7.495,"2012-01-01"
"1133",2013,"Bahia","sep",2.681,"2013-01-01"
"1134",2014,"Bahia","sep",2.604,"2014-01-01"
"1135",2015,"Bahia","sep",7.956,"2015-01-01"
"1136",2016,"Bahia","sep",1.819,"2016-01-01"
"1137",2017,"Bahia","sep",1.791,"2017-01-01"
"1138",1998,"Bahia","oct",1.969,"1998-01-01"
"1139",1999,"Bahia","oct",1.307,"1999-01-01"
"1140",2000,"Bahia","oct",3.35,"2000-01-01"
"1141",2001,"Bahia","oct",1.687,"2001-01-01"
"1142",2002,"Bahia","oct",5.414,"2002-01-01"
"1143",2003,"Bahia","oct",4.264,"2003-01-01"
"1144",2004,"Bahia","oct",4.81,"2004-01-01"
"1145",2005,"Bahia","oct",8.405,"2005-01-01"
"1146",2006,"Bahia","oct",2.079,"2006-01-01"
"1147",2007,"Bahia","oct",4.981,"2007-01-01"
"1148",2008,"Bahia","oct",7.691,"2008-01-01"
"1149",2009,"Bahia","oct",2.552,"2009-01-01"
"1150",2010,"Bahia","oct",5.264,"2010-01-01"
"1151",2011,"Bahia","oct",2.166,"2011-01-01"
"1152",2012,"Bahia","oct",4.607,"2012-01-01"
"1153",2013,"Bahia","oct",1.969,"2013-01-01"
"1154",2014,"Bahia","oct",2.763,"2014-01-01"
"1155",2015,"Bahia","oct",4.989,"2015-01-01"
"1156",2016,"Bahia","oct",1.415,"2016-01-01"
"1157",2017,"Bahia","oct",4.005,"2017-01-01"
"1158",1998,"Bahia","nov",49,"1998-01-01"
"1159",1999,"Bahia","nov",49,"1999-01-01"
"1160",2000,"Bahia","nov",114,"2000-01-01"
"1161",2001,"Bahia","nov",699,"2001-01-01"
"1162",2002,"Bahia","nov",1.02,"2002-01-01"
"1163",2003,"Bahia","nov",533,"2003-01-01"
"1164",2004,"Bahia","nov",1.736,"2004-01-01"
"1165",2005,"Bahia","nov",1.595,"2005-01-01"
"1166",2006,"Bahia","nov",239,"2006-01-01"
"1167",2007,"Bahia","nov",2.126,"2007-01-01"
"1168",2008,"Bahia","nov",3.175,"2008-01-01"
"1169",2009,"Bahia","nov",402,"2009-01-01"
"1170",2010,"Bahia","nov",605,"2010-01-01"
"1171",2011,"Bahia","nov",176,"2011-01-01"
"1172",2012,"Bahia","nov",168,"2012-01-01"
"1173",2013,"Bahia","nov",288,"2013-01-01"
"1174",2014,"Bahia","nov",348,"2014-01-01"
"1175",2015,"Bahia","nov",1.705,"2015-01-01"
"1176",2016,"Bahia","nov",408,"2016-01-01"
"1177",2017,"Bahia","nov",174,"2017-01-01"
"1178",1998,"Bahia","dec",82,"1998-01-01"
"1179",1999,"Bahia","dec",37,"1999-01-01"
"1180",2000,"Bahia","dec",24,"2000-01-01"
"1181",2001,"Bahia","dec",158,"2001-01-01"
"1182",2002,"Bahia","dec",848,"2002-01-01"
"1183",2003,"Bahia","dec",710,"2003-01-01"
"1184",2004,"Bahia","dec",423,"2004-01-01"
"1185",2005,"Bahia","dec",116,"2005-01-01"
"1186",2006,"Bahia","dec",169,"2006-01-01"
"1187",2007,"Bahia","dec",259,"2007-01-01"
"1188",2008,"Bahia","dec",52,"2008-01-01"
"1189",2009,"Bahia","dec",308,"2009-01-01"
"1190",2010,"Bahia","dec",226,"2010-01-01"
"1191",2011,"Bahia","dec",230,"2011-01-01"
"1192",2012,"Bahia","dec",477,"2012-01-01"
"1193",2013,"Bahia","dec",131,"2013-01-01"
"1194",2014,"Bahia","dec",144,"2014-01-01"
"1195",2015,"Bahia","dec",1.408,"2015-01-01"
"1196",2016,"Bahia","dec",164,"2016-01-01"
"1197",1998,"Ceara","jan",0,"1998-01-01"
"1198",1999,"Ceara","jan",47,"1999-01-01"
"1199",2000,"Ceara","jan",1,"2000-01-01"
"1200",2001,"Ceara","jan",11,"2001-01-01"
"1201",2002,"Ceara","jan",33,"2002-01-01"
"1202",2003,"Ceara","jan",264,"2003-01-01"
"1203",2004,"Ceara","jan",143,"2004-01-01"
"1204",2005,"Ceara","jan",384,"2005-01-01"
"1205",2006,"Ceara","jan",211,"2006-01-01"
"1206",2007,"Ceara","jan",304,"2007-01-01"
"1207",2008,"Ceara","jan",166,"2008-01-01"
"1208",2009,"Ceara","jan",347,"2009-01-01"
"1209",2010,"Ceara","jan",288,"2010-01-01"
"1210",2011,"Ceara","jan",32,"2011-01-01"
"1211",2012,"Ceara","jan",273,"2012-01-01"
"1212",2013,"Ceara","jan",103,"2013-01-01"
"1213",2014,"Ceara","jan",115,"2014-01-01"
"1214",2015,"Ceara","jan",207,"2015-01-01"
"1215",2016,"Ceara","jan",100,"2016-01-01"
"1216",2017,"Ceara","jan",91,"2017-01-01"
"1217",1998,"Ceara","feb",0,"1998-01-01"
"1218",1999,"Ceara","feb",16,"1999-01-01"
"1219",2000,"Ceara","feb",6,"2000-01-01"
"1220",2001,"Ceara","feb",0,"2001-01-01"
"1221",2002,"Ceara","feb",75,"2002-01-01"
"1222",2003,"Ceara","feb",9,"2003-01-01"
"1223",2004,"Ceara","feb",5,"2004-01-01"
"1224",2005,"Ceara","feb",25,"2005-01-01"
"1225",2006,"Ceara","feb",23,"2006-01-01"
"1226",2007,"Ceara","feb",3,"2007-01-01"
"1227",2008,"Ceara","feb",12,"2008-01-01"
"1228",2009,"Ceara","feb",8,"2009-01-01"
"1229",2010,"Ceara","feb",63,"2010-01-01"
"1230",2011,"Ceara","feb",2,"2011-01-01"
"1231",2012,"Ceara","feb",41,"2012-01-01"
"1232",2013,"Ceara","feb",49,"2013-01-01"
"1233",2014,"Ceara","feb",18,"2014-01-01"
"1234",2015,"Ceara","feb",25,"2015-01-01"
"1235",2016,"Ceara","feb",13,"2016-01-01"
"1236",2017,"Ceara","feb",9,"2017-01-01"
"1237",1998,"Ceara","mar",0,"1998-01-01"
"1238",1999,"Ceara","mar",30,"1999-01-01"
"1239",2000,"Ceara","mar",9,"2000-01-01"
"1240",2001,"Ceara","mar",0,"2001-01-01"
"1241",2002,"Ceara","mar",17,"2002-01-01"
"1242",2003,"Ceara","mar",3,"2003-01-01"
"1243",2004,"Ceara","mar",1,"2004-01-01"
"1244",2005,"Ceara","mar",5,"2005-01-01"
"1245",2006,"Ceara","mar",3,"2006-01-01"
"1246",2007,"Ceara","mar",2,"2007-01-01"
"1247",2008,"Ceara","mar",2,"2008-01-01"
"1248",2009,"Ceara","mar",3,"2009-01-01"
"1249",2010,"Ceara","mar",40,"2010-01-01"
"1250",2011,"Ceara","mar",6,"2011-01-01"
"1251",2012,"Ceara","mar",10,"2012-01-01"
"1252",2013,"Ceara","mar",17,"2013-01-01"
"1253",2014,"Ceara","mar",6,"2014-01-01"
"1254",2015,"Ceara","mar",20,"2015-01-01"
"1255",2016,"Ceara","mar",4,"2016-01-01"
"1256",2017,"Ceara","mar",4,"2017-01-01"
"1257",1998,"Ceara","apr",0,"1998-01-01"
"1258",1999,"Ceara","apr",6,"1999-01-01"
"1259",2000,"Ceara","apr",15,"2000-01-01"
"1260",2001,"Ceara","apr",2,"2001-01-01"
"1261",2002,"Ceara","apr",5,"2002-01-01"
"1262",2003,"Ceara","apr",3,"2003-01-01"
"1263",2004,"Ceara","apr",2,"2004-01-01"
"1264",2005,"Ceara","apr",4,"2005-01-01"
"1265",2006,"Ceara","apr",1,"2006-01-01"
"1266",2007,"Ceara","apr",1,"2007-01-01"
"1267",2008,"Ceara","apr",0,"2008-01-01"
"1268",2009,"Ceara","apr",0,"2009-01-01"
"1269",2010,"Ceara","apr",7,"2010-01-01"
"1270",2011,"Ceara","apr",1,"2011-01-01"
"1271",2012,"Ceara","apr",2,"2012-01-01"
"1272",2013,"Ceara","apr",4,"2013-01-01"
"1273",2014,"Ceara","apr",4,"2014-01-01"
"1274",2015,"Ceara","apr",3,"2015-01-01"
"1275",2016,"Ceara","apr",10,"2016-01-01"
"1276",2017,"Ceara","apr",6,"2017-01-01"
"1277",1998,"Ceara","may",0,"1998-01-01"
"1278",1999,"Ceara","may",5,"1999-01-01"
"1279",2000,"Ceara","may",7,"2000-01-01"
"1280",2001,"Ceara","may",81,"2001-01-01"
"1281",2002,"Ceara","may",10,"2002-01-01"
"1282",2003,"Ceara","may",0,"2003-01-01"
"1283",2004,"Ceara","may",3,"2004-01-01"
"1284",2005,"Ceara","may",1,"2005-01-01"
"1285",2006,"Ceara","may",0,"2006-01-01"
"1286",2007,"Ceara","may",0,"2007-01-01"
"1287",2008,"Ceara","may",0,"2008-01-01"
"1288",2009,"Ceara","may",0,"2009-01-01"
"1289",2010,"Ceara","may",2,"2010-01-01"
"1290",2011,"Ceara","may",0,"2011-01-01"
"1291",2012,"Ceara","may",19,"2012-01-01"
"1292",2013,"Ceara","may",4,"2013-01-01"
"1293",2014,"Ceara","may",4,"2014-01-01"
"1294",2015,"Ceara","may",17,"2015-01-01"
"1295",2016,"Ceara","may",8,"2016-01-01"
"1296",2017,"Ceara","may",9,"2017-01-01"
"1297",1998,"Ceara","jun",1,"1998-01-01"
"1298",1999,"Ceara","jun",16,"1999-01-01"
"1299",2000,"Ceara","jun",16,"2000-01-01"
"1300",2001,"Ceara","jun",38,"2001-01-01"
"1301",2002,"Ceara","jun",13,"2002-01-01"
"1302",2003,"Ceara","jun",2,"2003-01-01"
"1303",2004,"Ceara","jun",1,"2004-01-01"
"1304",2005,"Ceara","jun",6,"2005-01-01"
"1305",2006,"Ceara","jun",0,"2006-01-01"
"1306",2007,"Ceara","jun",1,"2007-01-01"
"1307",2008,"Ceara","jun",1,"2008-01-01"
"1308",2009,"Ceara","jun",0,"2009-01-01"
"1309",2010,"Ceara","jun",3,"2010-01-01"
"1310",2011,"Ceara","jun",5,"2011-01-01"
"1311",2012,"Ceara","jun",28,"2012-01-01"
"1312",2013,"Ceara","jun",5,"2013-01-01"
"1313",2014,"Ceara","jun",19,"2014-01-01"
"1314",2015,"Ceara","jun",22,"2015-01-01"
"1315",2016,"Ceara","jun",45,"2016-01-01"
"1316",2017,"Ceara","jun",23,"2017-01-01"
"1317",1998,"Ceara","jul",76,"1998-01-01"
"1318",1999,"Ceara","jul",83,"1999-01-01"
"1319",2000,"Ceara","jul",18,"2000-01-01"
"1320",2001,"Ceara","jul",146,"2001-01-01"
"1321",2002,"Ceara","jul",12,"2002-01-01"
"1322",2003,"Ceara","jul",14,"2003-01-01"
"1323",2004,"Ceara","jul",16,"2004-01-01"
"1324",2005,"Ceara","jul",14,"2005-01-01"
"1325",2006,"Ceara","jul",1,"2006-01-01"
"1326",2007,"Ceara","jul",11,"2007-01-01"
"1327",2008,"Ceara","jul",3,"2008-01-01"
"1328",2009,"Ceara","jul",7,"2009-01-01"
"1329",2010,"Ceara","jul",44,"2010-01-01"
"1330",2011,"Ceara","jul",18,"2011-01-01"
"1331",2012,"Ceara","jul",50,"2012-01-01"
"1332",2013,"Ceara","jul",4,"2013-01-01"
"1333",2014,"Ceara","jul",47,"2014-01-01"
"1334",2015,"Ceara","jul",25,"2015-01-01"
"1335",2016,"Ceara","jul",124,"2016-01-01"
"1336",2017,"Ceara","jul",26,"2017-01-01"
"1337",1998,"Ceara","aug",93,"1998-01-01"
"1338",1999,"Ceara","aug",131,"1999-01-01"
"1339",2000,"Ceara","aug",79,"2000-01-01"
"1340",2001,"Ceara","aug",219,"2001-01-01"
"1341",2002,"Ceara","aug",111,"2002-01-01"
"1342",2003,"Ceara","aug",109,"2003-01-01"
"1343",2004,"Ceara","aug",61,"2004-01-01"
"1344",2005,"Ceara","aug",51,"2005-01-01"
"1345",2006,"Ceara","aug",50,"2006-01-01"
"1346",2007,"Ceara","aug",182,"2007-01-01"
"1347",2008,"Ceara","aug",32,"2008-01-01"
"1348",2009,"Ceara","aug",26,"2009-01-01"
"1349",2010,"Ceara","aug",202,"2010-01-01"
"1350",2011,"Ceara","aug",53,"2011-01-01"
"1351",2012,"Ceara","aug",278,"2012-01-01"
"1352",2013,"Ceara","aug",32,"2013-01-01"
"1353",2014,"Ceara","aug",155,"2014-01-01"
"1354",2015,"Ceara","aug",127,"2015-01-01"
"1355",2016,"Ceara","aug",293,"2016-01-01"
"1356",2017,"Ceara","aug",121,"2017-01-01"
"1357",1998,"Ceara","sep",590,"1998-01-01"
"1358",1999,"Ceara","sep",124,"1999-01-01"
"1359",2000,"Ceara","sep",127,"2000-01-01"
"1360",2001,"Ceara","sep",801,"2001-01-01"
"1361",2002,"Ceara","sep",172,"2002-01-01"
"1362",2003,"Ceara","sep",384,"2003-01-01"
"1363",2004,"Ceara","sep",144,"2004-01-01"
"1364",2005,"Ceara","sep",185,"2005-01-01"
"1365",2006,"Ceara","sep",237,"2006-01-01"
"1366",2007,"Ceara","sep",241,"2007-01-01"
"1367",2008,"Ceara","sep",177,"2008-01-01"
"1368",2009,"Ceara","sep",101,"2009-01-01"
"1369",2010,"Ceara","sep",357,"2010-01-01"
"1370",2011,"Ceara","sep",239,"2011-01-01"
"1371",2012,"Ceara","sep",609,"2012-01-01"
"1372",2013,"Ceara","sep",177,"2013-01-01"
"1373",2014,"Ceara","sep",155,"2014-01-01"
"1374",2015,"Ceara","sep",214,"2015-01-01"
"1375",2016,"Ceara","sep",370,"2016-01-01"
"1376",2017,"Ceara","sep",505,"2017-01-01"
"1377",1998,"Ceara","oct",1.014,"1998-01-01"
"1378",1999,"Ceara","oct",309,"1999-01-01"
"1379",2000,"Ceara","oct",875,"2000-01-01"
"1380",2001,"Ceara","oct",2.045,"2001-01-01"
"1381",2002,"Ceara","oct",1.606,"2002-01-01"
"1382",2003,"Ceara","oct",1.761,"2003-01-01"
"1383",2004,"Ceara","oct",1.217,"2004-01-01"
"1384",2005,"Ceara","oct",1.378,"2005-01-01"
"1385",2006,"Ceara","oct",581,"2006-01-01"
"1386",2007,"Ceara","oct",964,"2007-01-01"
"1387",2008,"Ceara","oct",816,"2008-01-01"
"1388",2009,"Ceara","oct",435,"2009-01-01"
"1389",2010,"Ceara","oct",502,"2010-01-01"
"1390",2011,"Ceara","oct",415,"2011-01-01"
"1391",2012,"Ceara","oct",1.104,"2012-01-01"
"1392",2013,"Ceara","oct",466,"2013-01-01"
"1393",2014,"Ceara","oct",517,"2014-01-01"
"1394",2015,"Ceara","oct",658,"2015-01-01"
"1395",2016,"Ceara","oct",1.31,"2016-01-01"
"1396",2017,"Ceara","oct",949,"2017-01-01"
"1397",1998,"Ceara","nov",575,"1998-01-01"
"1398",1999,"Ceara","nov",524,"1999-01-01"
"1399",2000,"Ceara","nov",669,"2000-01-01"
"1400",2001,"Ceara","nov",2.456,"2001-01-01"
"1401",2002,"Ceara","nov",2.715,"2002-01-01"
"1402",2003,"Ceara","nov",3.327,"2003-01-01"
"1403",2004,"Ceara","nov",2.9,"2004-01-01"
"1404",2005,"Ceara","nov",2.483,"2005-01-01"
"1405",2006,"Ceara","nov",1.012,"2006-01-01"
"1406",2007,"Ceara","nov",1.443,"2007-01-01"
"1407",2008,"Ceara","nov",1.753,"2008-01-01"
"1408",2009,"Ceara","nov",1.653,"2009-01-01"
"1409",2010,"Ceara","nov",1.652,"2010-01-01"
"1410",2011,"Ceara","nov",1.561,"2011-01-01"
"1411",2012,"Ceara","nov",995,"2012-01-01"
"1412",2013,"Ceara","nov",1.081,"2013-01-01"
"1413",2014,"Ceara","nov",829,"2014-01-01"
"1414",2015,"Ceara","nov",1.081,"2015-01-01"
"1415",2016,"Ceara","nov",1.328,"2016-01-01"
"1416",2017,"Ceara","nov",812,"2017-01-01"
"1417",1998,"Ceara","dec",276,"1998-01-01"
"1418",1999,"Ceara","dec",397,"1999-01-01"
"1419",2000,"Ceara","dec",389,"2000-01-01"
"1420",2001,"Ceara","dec",545,"2001-01-01"
"1421",2002,"Ceara","dec",1.787,"2002-01-01"
"1422",2003,"Ceara","dec",2.436,"2003-01-01"
"1423",2004,"Ceara","dec",3.158,"2004-01-01"
"1424",2005,"Ceara","dec",1.36,"2005-01-01"
"1425",2006,"Ceara","dec",1.161,"2006-01-01"
"1426",2007,"Ceara","dec",1.177,"2007-01-01"
"1427",2008,"Ceara","dec",1.655,"2008-01-01"
"1428",2009,"Ceara","dec",1.987,"2009-01-01"
"1429",2010,"Ceara","dec",578,"2010-01-01"
"1430",2011,"Ceara","dec",1.441,"2011-01-01"
"1431",2012,"Ceara","dec",631,"2012-01-01"
"1432",2013,"Ceara","dec",956,"2013-01-01"
"1433",2014,"Ceara","dec",643,"2014-01-01"
"1434",2015,"Ceara","dec",1.021,"2015-01-01"
"1435",2016,"Ceara","dec",819,"2016-01-01"
"1436",1998,"Distrito Federal","jan",0,"1998-01-01"
"1437",1999,"Distrito Federal","jan",0,"1999-01-01"
"1438",2000,"Distrito Federal","jan",0,"2000-01-01"
"1439",2001,"Distrito Federal","jan",0,"2001-01-01"
"1440",2002,"Distrito Federal","jan",0,"2002-01-01"
"1441",2003,"Distrito Federal","jan",0,"2003-01-01"
"1442",2004,"Distrito Federal","jan",0,"2004-01-01"
"1443",2005,"Distrito Federal","jan",0,"2005-01-01"
"1444",2006,"Distrito Federal","jan",0,"2006-01-01"
"1445",2007,"Distrito Federal","jan",0,"2007-01-01"
"1446",2008,"Distrito Federal","jan",0,"2008-01-01"
"1447",2009,"Distrito Federal","jan",1,"2009-01-01"
"1448",2010,"Distrito Federal","jan",2,"2010-01-01"
"1449",2011,"Distrito Federal","jan",2,"2011-01-01"
"1450",2012,"Distrito Federal","jan",0,"2012-01-01"
"1451",2013,"Distrito Federal","jan",0,"2013-01-01"
"1452",2014,"Distrito Federal","jan",0,"2014-01-01"
"1453",2015,"Distrito Federal","jan",1,"2015-01-01"
"1454",2016,"Distrito Federal","jan",1,"2016-01-01"
"1455",2017,"Distrito Federal","jan",1,"2017-01-01"
"1456",1998,"Distrito Federal","feb",0,"1998-01-01"
"1457",1999,"Distrito Federal","feb",2,"1999-01-01"
"1458",2000,"Distrito Federal","feb",0,"2000-01-01"
"1459",2001,"Distrito Federal","feb",1,"2001-01-01"
"1460",2002,"Distrito Federal","feb",0,"2002-01-01"
"1461",2003,"Distrito Federal","feb",1,"2003-01-01"
"1462",2004,"Distrito Federal","feb",0,"2004-01-01"
"1463",2005,"Distrito Federal","feb",0,"2005-01-01"
"1464",2006,"Distrito Federal","feb",0,"2006-01-01"
"1465",2007,"Distrito Federal","feb",0,"2007-01-01"
"1466",2008,"Distrito Federal","feb",0,"2008-01-01"
"1467",2009,"Distrito Federal","feb",0,"2009-01-01"
"1468",2010,"Distrito Federal","feb",4,"2010-01-01"
"1469",2011,"Distrito Federal","feb",1,"2011-01-01"
"1470",2012,"Distrito Federal","feb",0,"2012-01-01"
"1471",2013,"Distrito Federal","feb",1,"2013-01-01"
"1472",2014,"Distrito Federal","feb",1,"2014-01-01"
"1473",2015,"Distrito Federal","feb",0,"2015-01-01"
"1474",2016,"Distrito Federal","feb",2,"2016-01-01"
"1475",2017,"Distrito Federal","feb",0,"2017-01-01"
"1476",1998,"Distrito Federal","mar",0,"1998-01-01"
"1477",1999,"Distrito Federal","mar",0,"1999-01-01"
"1478",2000,"Distrito Federal","mar",0,"2000-01-01"
"1479",2001,"Distrito Federal","mar",0,"2001-01-01"
"1480",2002,"Distrito Federal","mar",0,"2002-01-01"
"1481",2003,"Distrito Federal","mar",0,"2003-01-01"
"1482",2004,"Distrito Federal","mar",0,"2004-01-01"
"1483",2005,"Distrito Federal","mar",0,"2005-01-01"
"1484",2006,"Distrito Federal","mar",0,"2006-01-01"
"1485",2007,"Distrito Federal","mar",1,"2007-01-01"
"1486",2008,"Distrito Federal","mar",2,"2008-01-01"
"1487",2009,"Distrito Federal","mar",0,"2009-01-01"
"1488",2010,"Distrito Federal","mar",0,"2010-01-01"
"1489",2011,"Distrito Federal","mar",0,"2011-01-01"
"1490",2012,"Distrito Federal","mar",0,"2012-01-01"
"1491",2013,"Distrito Federal","mar",1,"2013-01-01"
"1492",2014,"Distrito Federal","mar",1,"2014-01-01"
"1493",2015,"Distrito Federal","mar",0,"2015-01-01"
"1494",2016,"Distrito Federal","mar",1,"2016-01-01"
"1495",2017,"Distrito Federal","mar",0,"2017-01-01"
"1496",1998,"Distrito Federal","apr",0,"1998-01-01"
"1497",1999,"Distrito Federal","apr",0,"1999-01-01"
"1498",2000,"Distrito Federal","apr",0,"2000-01-01"
"1499",2001,"Distrito Federal","apr",0,"2001-01-01"
"1500",2002,"Distrito Federal","apr",1,"2002-01-01"
"1501",2003,"Distrito Federal","apr",0,"2003-01-01"
"1502",2004,"Distrito Federal","apr",1,"2004-01-01"
"1503",2005,"Distrito Federal","apr",0,"2005-01-01"
"1504",2006,"Distrito Federal","apr",0,"2006-01-01"
"1505",2007,"Distrito Federal","apr",0,"2007-01-01"
"1506",2008,"Distrito Federal","apr",1,"2008-01-01"
"1507",2009,"Distrito Federal","apr",0,"2009-01-01"
"1508",2010,"Distrito Federal","apr",8,"2010-01-01"
"1509",2011,"Distrito Federal","apr",1,"2011-01-01"
"1510",2012,"Distrito Federal","apr",4,"2012-01-01"
"1511",2013,"Distrito Federal","apr",1,"2013-01-01"
"1512",2014,"Distrito Federal","apr",2,"2014-01-01"
"1513",2015,"Distrito Federal","apr",0,"2015-01-01"
"1514",2016,"Distrito Federal","apr",5,"2016-01-01"
"1515",2017,"Distrito Federal","apr",1,"2017-01-01"
"1516",1998,"Distrito Federal","may",0,"1998-01-01"
"1517",1999,"Distrito Federal","may",0,"1999-01-01"
"1518",2000,"Distrito Federal","may",2,"2000-01-01"
"1519",2001,"Distrito Federal","may",0,"2001-01-01"
"1520",2002,"Distrito Federal","may",1,"2002-01-01"
"1521",2003,"Distrito Federal","may",0,"2003-01-01"
"1522",2004,"Distrito Federal","may",9,"2004-01-01"
"1523",2005,"Distrito Federal","may",2,"2005-01-01"
"1524",2006,"Distrito Federal","may",3,"2006-01-01"
"1525",2007,"Distrito Federal","may",4,"2007-01-01"
"1526",2008,"Distrito Federal","may",6,"2008-01-01"
"1527",2009,"Distrito Federal","may",9,"2009-01-01"
"1528",2010,"Distrito Federal","may",23,"2010-01-01"
"1529",2011,"Distrito Federal","may",3,"2011-01-01"
"1530",2012,"Distrito Federal","may",0,"2012-01-01"
"1531",2013,"Distrito Federal","may",2,"2013-01-01"
"1532",2014,"Distrito Federal","may",9,"2014-01-01"
"1533",2015,"Distrito Federal","may",2,"2015-01-01"
"1534",2016,"Distrito Federal","may",15,"2016-01-01"
"1535",2017,"Distrito Federal","may",6,"2017-01-01"
"1536",1998,"Distrito Federal","jun",2,"1998-01-01"
"1537",1999,"Distrito Federal","jun",3,"1999-01-01"
"1538",2000,"Distrito Federal","jun",1,"2000-01-01"
"1539",2001,"Distrito Federal","jun",3,"2001-01-01"
"1540",2002,"Distrito Federal","jun",7,"2002-01-01"
"1541",2003,"Distrito Federal","jun",11,"2003-01-01"
"1542",2004,"Distrito Federal","jun",6,"2004-01-01"
"1543",2005,"Distrito Federal","jun",3,"2005-01-01"
"1544",2006,"Distrito Federal","jun",2,"2006-01-01"
"1545",2007,"Distrito Federal","jun",21,"2007-01-01"
"1546",2008,"Distrito Federal","jun",0,"2008-01-01"
"1547",2009,"Distrito Federal","jun",4,"2009-01-01"
"1548",2010,"Distrito Federal","jun",21,"2010-01-01"
"1549",2011,"Distrito Federal","jun",18,"2011-01-01"
"1550",2012,"Distrito Federal","jun",6,"2012-01-01"
"1551",2013,"Distrito Federal","jun",4,"2013-01-01"
"1552",2014,"Distrito Federal","jun",6,"2014-01-01"
"1553",2015,"Distrito Federal","jun",1,"2015-01-01"
"1554",2016,"Distrito Federal","jun",42,"2016-01-01"
"1555",2017,"Distrito Federal","jun",23,"2017-01-01"
"1556",1998,"Distrito Federal","jul",17,"1998-01-01"
"1557",1999,"Distrito Federal","jul",4,"1999-01-01"
"1558",2000,"Distrito Federal","jul",15,"2000-01-01"
"1559",2001,"Distrito Federal","jul",22,"2001-01-01"
"1560",2002,"Distrito Federal","jul",33,"2002-01-01"
