"","year","state","month","number","date"
"185",2002,"Acre","oct",687,"2002-01-01"
"186",2003,"Acre","oct",740,"2003-01-01"
"187",2004,"Acre","oct",461,"2004-01-01"
"188",2005,"Acre","oct",547,"2005-01-01"
"189",2006,"Acre","oct",316,"2006-01-01"
"190",2007,"Acre","oct",203,"2007-01-01"
"191",2008,"Acre","oct",652,"2008-01-01"
"192",2009,"Acre","oct",565,"2009-01-01"
"193",2010,"Acre","oct",292,"2010-01-01"
"194",2011,"Acre","oct",97,"2011-01-01"
"195",2012,"Acre","oct",348,"2012-01-01"
"196",2013,"Acre","oct",258,"2013-01-01"
"197",2014,"Acre","oct",406,"2014-01-01"
"198",2015,"Acre","oct",905,"2015-01-01"
"199",2016,"Acre","oct",509,"2016-01-01"
"200",2017,"Acre","oct",1.508,"2017-01-01"
"201",1998,"Acre","nov",0,"1998-01-01"
"202",1999,"Acre","nov",0,"1999-01-01"
"203",2000,"Acre","nov",0,"2000-01-01"
"204",2001,"Acre","nov",1,"2001-01-01"
"205",2002,"Acre","nov",86,"2002-01-01"
"206",2003,"Acre","nov",15,"2003-01-01"
"207",2004,"Acre","nov",10,"2004-01-01"
"208",2005,"Acre","nov",14,"2005-01-01"
"209",2006,"Acre","nov",18,"2006-01-01"
"210",2007,"Acre","nov",7,"2007-01-01"
"211",2008,"Acre","nov",4,"2008-01-01"
"212",2009,"Acre","nov",33,"2009-01-01"
"213",2010,"Acre","nov",39,"2010-01-01"
"214",2011,"Acre","nov",74,"2011-01-01"
"215",2012,"Acre","nov",13,"2012-01-01"
"216",2013,"Acre","nov",79,"2013-01-01"
"217",2014,"Acre","nov",56,"2014-01-01"
"218",2015,"Acre","nov",115,"2015-01-01"
"219",2016,"Acre","nov",46,"2016-01-01"
"220",2017,"Acre","nov",98,"2017-01-01"
"221",1998,"Acre","dec",7,"1998-01-01"
"222",1999,"Acre","dec",0,"1999-01-01"
"223",2000,"Acre","dec",0,"2000-01-01"
"224",2001,"Acre","dec",0,"2001-01-01"
"225",2002,"Acre","dec",1,"2002-01-01"
"226",2003,"Acre","dec",1,"2003-01-01"
"227",2004,"Acre","dec",7,"2004-01-01"
"228",2005,"Acre","dec",2,"2005-01-01"
"229",2006,"Acre","dec",0,"2006-01-01"
"230",2007,"Acre","dec",0,"2007-01-01"
"231",2008,"Acre","dec",0,"2008-01-01"
"232",2009,"Acre","dec",1,"2009-01-01"
"233",2010,"Acre","dec",0,"2010-01-01"
"234",2011,"Acre","dec",4,"2011-01-01"
"235",2012,"Acre","dec",1,"2012-01-01"
"236",2013,"Acre","dec",3,"2013-01-01"
"237",2014,"Acre","dec",6,"2014-01-01"
"238",2015,"Acre","dec",8,"2015-01-01"
"239",2016,"Acre","dec",6,"2016-01-01"
"240",1998,"Alagoas","jan",0,"1998-01-01"
"241",1999,"Alagoas","jan",58,"1999-01-01"
"242",2000,"Alagoas","jan",11,"2000-01-01"
"243",2001,"Alagoas","jan",5,"2001-01-01"
"244",2002,"Alagoas","jan",12,"2002-01-01"
"245",2003,"Alagoas","jan",150,"2003-01-01"
"246",2004,"Alagoas","jan",9,"2004-01-01"
"247",2005,"Alagoas","jan",83,"2005-01-01"
"248",2006,"Alagoas","jan",29,"2006-01-01"
"249",2007,"Alagoas","jan",33,"2007-01-01"
"250",2008,"Alagoas","jan",55,"2008-01-01"
"251",2009,"Alagoas","jan",104,"2009-01-01"
"252",2010,"Alagoas","jan",23,"2010-01-01"
"253",2011,"Alagoas","jan",41,"2011-01-01"
"254",2012,"Alagoas","jan",36,"2012-01-01"
"255",2013,"Alagoas","jan",49,"2013-01-01"
"256",2014,"Alagoas","jan",54,"2014-01-01"
"257",2015,"Alagoas","jan",81,"2015-01-01"
"258",2016,"Alagoas","jan",24,"2016-01-01"
"259",2017,"Alagoas","jan",38,"2017-01-01"
"260",2017,"Alagoas","jan",38,"2017-01-01"
"261",1998,"Alagoas","feb",0,"1998-01-01"
"262",1999,"Alagoas","feb",20,"1999-01-01"
"263",2000,"Alagoas","feb",16,"2000-01-01"
"264",2001,"Alagoas","feb",4,"2001-01-01"
"265",2002,"Alagoas","feb",15,"2002-01-01"
"266",2003,"Alagoas","feb",33,"2003-01-01"
"267",2004,"Alagoas","feb",7,"2004-01-01"
"268",2005,"Alagoas","feb",31,"2005-01-01"
"269",2006,"Alagoas","feb",14,"2006-01-01"
"270",2007,"Alagoas","feb",28,"2007-01-01"
"271",2008,"Alagoas","feb",74,"2008-01-01"
"272",2009,"Alagoas","feb",32,"2009-01-01"
"273",2010,"Alagoas","feb",26,"2010-01-01"
"274",2011,"Alagoas","feb",33,"2011-01-01"
"275",2012,"Alagoas","feb",41,"2012-01-01"
"276",2013,"Alagoas","feb",19,"2013-01-01"
"277",2014,"Alagoas","feb",29,"2014-01-01"
"278",2015,"Alagoas","feb",46,"2015-01-01"
"279",2016,"Alagoas","feb",14,"2016-01-01"
"280",2017,"Alagoas","feb",21,"2017-01-01"
"281",1998,"Alagoas","mar",0,"1998-01-01"
"282",1999,"Alagoas","mar",52,"1999-01-01"
"283",2000,"Alagoas","mar",32,"2000-01-01"
"284",2001,"Alagoas","mar",0,"2001-01-01"
"285",2002,"Alagoas","mar",27,"2002-01-01"
"286",2003,"Alagoas","mar",15,"2003-01-01"
"287",2004,"Alagoas","mar",16,"2004-01-01"
"288",2005,"Alagoas","mar",35,"2005-01-01"
"289",2006,"Alagoas","mar",37,"2006-01-01"
"290",2007,"Alagoas","mar",7,"2007-01-01"
"291",2008,"Alagoas","mar",31,"2008-01-01"
"292",2009,"Alagoas","mar",31,"2009-01-01"
"293",2010,"Alagoas","mar",70,"2010-01-01"
"294",2011,"Alagoas","mar",34,"2011-01-01"
"295",2012,"Alagoas","mar",44,"2012-01-01"
"296",2013,"Alagoas","mar",31,"2013-01-01"
"297",2014,"Alagoas","mar",28,"2014-01-01"
"298",2015,"Alagoas","mar",32,"2015-01-01"
"299",2016,"Alagoas","mar",9,"2016-01-01"
"300",2017,"Alagoas","mar",23,"2017-01-01"
"301",1998,"Alagoas","apr",0,"1998-01-01"
"302",1999,"Alagoas","apr",4,"1999-01-01"
"303",2000,"Alagoas","apr",20,"2000-01-01"
"304",2001,"Alagoas","apr",0,"2001-01-01"
"305",2002,"Alagoas","apr",6,"2002-01-01"
"306",2003,"Alagoas","apr",20,"2003-01-01"
"307",2004,"Alagoas","apr",6,"2004-01-01"
"308",2005,"Alagoas","apr",1,"2005-01-01"
"309",2006,"Alagoas","apr",2,"2006-01-01"
"310",2007,"Alagoas","apr",1,"2007-01-01"
"311",2008,"Alagoas","apr",18,"2008-01-01"
"312",2009,"Alagoas","apr",5,"2009-01-01"
"313",2010,"Alagoas","apr",3,"2010-01-01"
"314",2011,"Alagoas","apr",17,"2011-01-01"
"315",2012,"Alagoas","apr",18,"2012-01-01"
"316",2013,"Alagoas","apr",25,"2013-01-01"
"317",2014,"Alagoas","apr",16,"2014-01-01"
"318",2015,"Alagoas","apr",63,"2015-01-01"
"319",2016,"Alagoas","apr",13,"2016-01-01"
"320",2017,"Alagoas","apr",7,"2017-01-01"
"321",1998,"Alagoas","may",0,"1998-01-01"
"322",1999,"Alagoas","may",1,"1999-01-01"
"323",2000,"Alagoas","may",1,"2000-01-01"
"324",2001,"Alagoas","may",2,"2001-01-01"
"325",2002,"Alagoas","may",1,"2002-01-01"
"326",2003,"Alagoas","may",1,"2003-01-01"
"327",2004,"Alagoas","may",3,"2004-01-01"
"328",2005,"Alagoas","may",0,"2005-01-01"
"329",2006,"Alagoas","may",0,"2006-01-01"
"330",2007,"Alagoas","may",0,"2007-01-01"
"331",2008,"Alagoas","may",0,"2008-01-01"
"332",2009,"Alagoas","may",0,"2009-01-01"
"333",2010,"Alagoas","may",0,"2010-01-01"
"334",2011,"Alagoas","may",0,"2011-01-01"
"335",2012,"Alagoas","may",21,"2012-01-01"
"336",2013,"Alagoas","may",2,"2013-01-01"
"337",2014,"Alagoas","may",1,"2014-01-01"
"338",2015,"Alagoas","may",18,"2015-01-01"
"339",2016,"Alagoas","may",4,"2016-01-01"
"340",2017,"Alagoas","may",1,"2017-01-01"
"341",1998,"Alagoas","jun",0,"1998-01-01"
"342",1999,"Alagoas","jun",0,"1999-01-01"
"343",2000,"Alagoas","jun",0,"2000-01-01"
"344",2001,"Alagoas","jun",2,"2001-01-01"
"345",2002,"Alagoas","jun",0,"2002-01-01"
"346",2003,"Alagoas","jun",0,"2003-01-01"
"347",2004,"Alagoas","jun",0,"2004-01-01"
"348",2005,"Alagoas","jun",0,"2005-01-01"
"349",2006,"Alagoas","jun",0,"2006-01-01"
"350",2007,"Alagoas","jun",0,"2007-01-01"
"351",2008,"Alagoas","jun",0,"2008-01-01"
"352",2009,"Alagoas","jun",0,"2009-01-01"
"353",2010,"Alagoas","jun",0,"2010-01-01"
"354",2011,"Alagoas","jun",2,"2011-01-01"
"355",2012,"Alagoas","jun",4,"2012-01-01"
"356",2013,"Alagoas","jun",1,"2013-01-01"
"357",2014,"Alagoas","jun",2,"2014-01-01"
"358",2015,"Alagoas","jun",2,"2015-01-01"
"359",2016,"Alagoas","jun",5,"2016-01-01"
"360",2017,"Alagoas","jun",2,"2017-01-01"
"361",1998,"Alagoas","jul",0,"1998-01-01"
"362",1999,"Alagoas","jul",0,"1999-01-01"
"363",2000,"Alagoas","jul",0,"2000-01-01"
"364",2001,"Alagoas","jul",0,"2001-01-01"
"365",2002,"Alagoas","jul",5,"2002-01-01"
"366",2003,"Alagoas","jul",0,"2003-01-01"
"367",2004,"Alagoas","jul",0,"2004-01-01"
"368",2005,"Alagoas","jul",0,"2005-01-01"
"369",2006,"Alagoas","jul",0,"2006-01-01"
"370",2007,"Alagoas","jul",0,"2007-01-01"
"371",2008,"Alagoas","jul",0,"2008-01-01"
"372",2009,"Alagoas","jul",0,"2009-01-01"
"373",2010,"Alagoas","jul",2,"2010-01-01"
"374",2011,"Alagoas","jul",0,"2011-01-01"
"375",2012,"Alagoas","jul",0,"2012-01-01"
"376",2013,"Alagoas","jul",0,"2013-01-01"
"377",2014,"Alagoas","jul",1,"2014-01-01"
"378",2015,"Alagoas","jul",0,"2015-01-01"
"379",2016,"Alagoas","jul",3,"2016-01-01"
"380",2017,"Alagoas","jul",0,"2017-01-01"
"381",1998,"Alagoas","aug",1,"1998-01-01"
"382",1999,"Alagoas","aug",3,"1999-01-01"
"383",2000,"Alagoas","aug",4,"2000-01-01"
"384",2001,"Alagoas","aug",1,"2001-01-01"
"385",2002,"Alagoas","aug",3,"2002-01-01"
"386",2003,"Alagoas","aug",2,"2003-01-01"
"387",2004,"Alagoas","aug",2,"2004-01-01"
"388",2005,"Alagoas","aug",2,"2005-01-01"
"389",2006,"Alagoas","aug",1,"2006-01-01"
"390",2007,"Alagoas","aug",3,"2007-01-01"
"391",2008,"Alagoas","aug",1,"2008-01-01"
"392",2009,"Alagoas","aug",0,"2009-01-01"
"393",2010,"Alagoas","aug",1,"2010-01-01"
"394",2011,"Alagoas","aug",4,"2011-01-01"
"395",2012,"Alagoas","aug",0,"2012-01-01"
"396",2013,"Alagoas","aug",0,"2013-01-01"
"397",2014,"Alagoas","aug",3,"2014-01-01"
"398",2015,"Alagoas","aug",3,"2015-01-01"
"399",2016,"Alagoas","aug",5,"2016-01-01"
"400",2017,"Alagoas","aug",1,"2017-01-01"
"401",1998,"Alagoas","sep",14,"1998-01-01"
"402",1999,"Alagoas","sep",3,"1999-01-01"
"403",2000,"Alagoas","sep",22,"2000-01-01"
"404",2001,"Alagoas","sep",5,"2001-01-01"
"405",2002,"Alagoas","sep",14,"2002-01-01"
"406",2003,"Alagoas","sep",8,"2003-01-01"
"407",2004,"Alagoas","sep",5,"2004-01-01"
"408",2005,"Alagoas","sep",7,"2005-01-01"
"409",2006,"Alagoas","sep",4,"2006-01-01"
"410",2007,"Alagoas","sep",2,"2007-01-01"
"411",2008,"Alagoas","sep",9,"2008-01-01"
"412",2009,"Alagoas","sep",13,"2009-01-01"
"413",2010,"Alagoas","sep",5,"2010-01-01"
"414",2011,"Alagoas","sep",5,"2011-01-01"
"415",2012,"Alagoas","sep",6,"2012-01-01"
"416",2013,"Alagoas","sep",4,"2013-01-01"
"417",2014,"Alagoas","sep",11,"2014-01-01"
"418",2015,"Alagoas","sep",7,"2015-01-01"
"419",2016,"Alagoas","sep",18,"2016-01-01"
"420",2017,"Alagoas","sep",4,"2017-01-01"
